medications	[0.0006360832690824981, 4.43675407072186e-05, 0.014982765224052088, 5.1056877361380575e-05, 0.0010062145478812146]
hydrochlorothiazide	[5.782575173477255e-05, 4.43675407072186e-05, 0.001026426656453466, 1.2764219340345144e-05, 6.777610944277611e-05]
coumadin	[0.00043690567977383707, 0.0001552863924752651, 0.0024205285331290695, 0.0001404064127437966, 0.0012721054387721054]
discharge	[0.000359804677460807, 0.0009095345844979813, 0.005239371888165454, 0.0007275605023996732, 0.0039727227227227225]
vasotec	[3.2125417630429196e-05, 2.21837703536093e-05, 0.00032171581769437, 1.2764219340345144e-05, 2.085418752085419e-05]
5	[0.0013042919557954254, 0.0007764319623763255, 0.007246265798544619, 0.0005999183089962218, 0.0012564647981314649]
mg	[0.0013299922898997688, 0.000221837703536093, 0.06287246265798545, 0.00042121923823138977, 0.0032845345345345347]
po	[0.000558982266769468, 8.87350814144372e-05, 0.047139027192646496, 0.0001659348514244869, 0.0022626793460126795]
bid	[0.00019275250578257516, 4.43675407072186e-05, 0.016300268096514744, 0.0001148779740631063, 0.0009332248915582249]
isordil	[3.855050115651503e-05, 2.21837703536093e-05, 0.0007353504404442742, 2.5528438680690288e-05, 0.00011469803136469803]
10	[0.0008481110254433307, 0.0011979235990949022, 0.007950976637303715, 0.0003956907995506995, 0.0009384384384384384]
qid	[3.2125417630429196e-05, 2.21837703536093e-05, 0.002543086939869782, 1.2764219340345144e-05, 0.00014076576576576576]
ticlopidine	[6.4250835260858394e-06, 2.21837703536093e-05, 4.595940252776714e-05, 1.2764219340345144e-05, 1.0427093760427094e-05]
50	[0.0006489334361346698, 0.0006876968809618883, 0.0034929145921103024, 0.0001148779740631063, 0.00047443276609943275]
metoprolol	[6.425083526085839e-05, 2.21837703536093e-05, 0.0011643048640367676, 1.2764219340345144e-05, 0.0001668335001668335]
ciprofloxacin	[7.710100231303006e-05, 2.21837703536093e-05, 0.00021447721179624664, 1.2764219340345144e-05, 0.00011469803136469803]
500	[8.995116936520175e-05, 4.43675407072186e-05, 0.002619685944082727, 6.382109670172573e-05, 0.0002346096096096096]
q12h	[6.4250835260858394e-06, 2.21837703536093e-05, 0.0004902336269628494, 1.2764219340345144e-05, 1.0427093760427094e-05]
x	[0.0005846826008738113, 0.0001774701628288744, 0.000995787054768288, 0.0006254467476769121, 0.0002919586252919586]
